season,method,n,log_loss,brier,accuracy
2012,routed_model,256,0.6038178944434793,0.2089467852717206,0.640625
2012,market_baseline,256,0.6038178944434793,0.2089467852717206,0.640625
2012,ratings_only,256,0.6345102428031151,0.22201187084486662,0.6328125
2012,elo_only,256,0.6347006492583589,0.2227213349368865,0.6171875
2012,boosted_all_features,256,0.6055409789435446,0.20901672488755862,0.67578125
2013,routed_model,256,0.5947437626666137,0.20394380200559648,0.7109375
2013,market_baseline,256,0.5947437626666137,0.20394380200559648,0.7109375
2013,ratings_only,256,0.6315571785232011,0.2224551673173809,0.62890625
2013,elo_only,256,0.6273566341882315,0.22003340317565612,0.64453125
2013,boosted_all_features,256,0.627893812388713,0.2175780869879712,0.67578125
2014,routed_model,256,0.6049068565876763,0.20961401744041597,0.6640625
2014,market_baseline,256,0.6049068565876763,0.20961401744041597,0.6640625
2014,ratings_only,256,0.6044146542440741,0.2088536033935019,0.65625
2014,elo_only,256,0.6010093224282467,0.20705872371564996,0.69921875
2014,boosted_all_features,256,0.6095610666175862,0.21134709822762934,0.66015625
2015,routed_model,256,0.6513777992162999,0.22989822200789223,0.625
2015,market_baseline,256,0.6513777992162999,0.22989822200789223,0.625
2015,ratings_only,256,0.6361426029980043,0.2218522414167862,0.66015625
2015,elo_only,256,0.6398281035413685,0.22305493570057439,0.68359375
2015,boosted_all_features,256,0.6471234781798108,0.22694762223167586,0.65625
2016,routed_model,256,0.6303044106235248,0.22094382467472168,0.63671875
2016,market_baseline,256,0.6303044106235248,0.22094382467472168,0.63671875
2016,ratings_only,256,0.6313923964423787,0.22125013372307092,0.625
2016,elo_only,256,0.6341245695048969,0.22286084004975773,0.63671875
2016,boosted_all_features,256,0.629332602939962,0.21994876432484575,0.640625
2017,routed_model,256,0.5845624730043886,0.19911876485539654,0.703125
2017,market_baseline,256,0.5845624730043886,0.19911876485539654,0.703125
2017,ratings_only,256,0.6261144973553221,0.2184664569781218,0.65625
2017,elo_only,256,0.6214325023360929,0.21678750066025934,0.671875
2017,boosted_all_features,256,0.5986689290349808,0.20488703639617167,0.6953125
2018,routed_model,256,0.6096385023478326,0.2103563770331927,0.6640625
2018,market_baseline,256,0.6096385023478326,0.2103563770331927,0.6640625
2018,ratings_only,256,0.6160892834770602,0.21440493751184564,0.6640625
2018,elo_only,256,0.6317317423815257,0.22179497968718298,0.62890625
2018,boosted_all_features,256,0.6154835324790933,0.21319239670662682,0.68359375
2019,routed_model,256,0.6125669412435485,0.21246986563795542,0.64453125
2019,market_baseline,256,0.6125669412435485,0.21246986563795542,0.64453125
2019,ratings_only,256,0.6380606316221296,0.223867242649285,0.64453125
2019,elo_only,256,0.6320969326867587,0.220266632695759,0.6484375
2019,boosted_all_features,256,0.6196474847191512,0.21495634762721466,0.671875
2020,routed_model,256,0.5929826827006004,0.20292726833161093,0.671875
2020,market_baseline,256,0.5929826827006004,0.20292726833161093,0.671875
2020,ratings_only,256,0.623062061708545,0.21663640919060517,0.66015625
2020,elo_only,256,0.6284211491185103,0.21791789923408722,0.65625
2020,boosted_all_features,256,0.5927369169884751,0.20300895335251443,0.66796875
2021,routed_model,272,0.6281289787534616,0.21997541822438268,0.6213235294117647
2021,market_baseline,272,0.6281289787534616,0.21997541822438268,0.6213235294117647
2021,ratings_only,272,0.657721040761911,0.23186333763765418,0.5955882352941176
2021,elo_only,272,0.6610171301025218,0.2322366919622241,0.6102941176470589
2021,boosted_all_features,272,0.6103342168793946,0.21188397616832583,0.6433823529411765
2022,routed_model,271,0.6057764461118227,0.20980164838556145,0.6642066420664207
2022,market_baseline,271,0.6057764461118227,0.20980164838556145,0.6642066420664207
2022,ratings_only,271,0.6371087636156603,0.22298766404924128,0.6346863468634686
2022,elo_only,271,0.6431927163836004,0.22598755517453822,0.6309963099630996
2022,boosted_all_features,271,0.609955733608153,0.21142935815396885,0.6752767527675276
2023,routed_model,272,0.6229350804842968,0.21686222756287746,0.6801470588235294
2023,market_baseline,272,0.6229350804842968,0.21686222756287746,0.6801470588235294
2023,ratings_only,272,0.6531662353249383,0.2302278796659745,0.6102941176470589
2023,elo_only,272,0.6635734142156854,0.2342881888940679,0.6139705882352942
2023,boosted_all_features,272,0.6394036804968666,0.22414329315456516,0.6654411764705882
2024,routed_model,272,0.5874530782727044,0.2003565696268026,0.7132352941176471
2024,market_baseline,272,0.5874530782727044,0.2003565696268026,0.7132352941176471
2024,ratings_only,272,0.6203888860679371,0.21600435684174576,0.6544117647058824
2024,elo_only,272,0.6125350056119077,0.21178591339413658,0.6580882352941176
2024,boosted_all_features,272,0.5939342111237076,0.2028267509456133,0.7022058823529411
2025,routed_model,272,0.6074588802005387,0.21153200561810356,0.6544117647058824
2025,market_baseline,272,0.6074588802005387,0.21153200561810356,0.6544117647058824
2025,ratings_only,272,0.6386924008415926,0.2246868897166289,0.6029411764705882
2025,elo_only,272,0.6405220993470119,0.22472815198674118,0.6286764705882353
2025,boosted_all_features,272,0.6126410528659639,0.2135707886572659,0.6470588235294118
2026,routed_model,16,0.6035333181681982,0.20560582284860007,0.75
2026,market_baseline,16,0.6035333181681982,0.20560582284860007,0.75
2026,ratings_only,16,0.6626865904807695,0.23587895847122736,0.6875
2026,elo_only,16,0.6630306361090761,0.23484083294349942,0.625
2026,boosted_all_features,16,0.6211034539672021,0.2156777837575157,0.75
