n_entrants,plan,expected_pot_share,fair_share,edge_vs_fair,p_reach_end,mean_survivors
25,greedy,0.08819667277167276,0.038461538461538464,1.2931134920634917,0.12166666666666667,1.3943333333333334
25,optimal,0.0836263024013024,0.038461538461538464,1.174283862433862,0.111,1.3846666666666667
100,optimal,0.03578400673400673,0.009900990099009901,2.61418468013468,0.047,1.353
100,greedy,0.03188876863876863,0.009900990099009901,2.220765632515632,0.041,1.3526666666666667
500,greedy,0.006764926739926741,0.001996007984031936,2.389228296703297,0.010333333333333333,1.4143333333333334
500,optimal,0.00565,0.001996007984031936,1.8306499999999999,0.007666666666666666,1.4093333333333333
