method,seasons,games,log_loss,brier,accuracy
market_baseline,15,3679,0.6097478025142381,0.21118334258684165,0.6643109540636042
routed_model,15,3679,0.6097478025142381,0.21118334258684165,0.6643109540636042
boosted_all_features,15,3679,0.6151470433132362,0.2131975549055886,0.668931774938842
ratings_only,15,3679,0.6323660935338549,0.2212636190806925,0.6374014677901604
elo_only,15,3679,0.6340346528716339,0.22168679372628275,0.6444686055993476
